R,G,B,label
26,28,25,2
26,28,24,2
26,27,25,2
26,27,24,2
25,28,25,2
25,28,24,2
25,27,25,2
25,27,24,2
24,28,25,2
24,28,24,2
24,27,25,2
24,27,24,2
32,36,32,2
32,36,33,2
32,35,32,2
32,35,33,2
31,36,32,2
31,36,33,2
31,35,32,2
31,35,33,2
24,27,25,2
34,33,27,2
35,33,27,2
22,24,24,2
23,24,24,2
33,35,30,2
33,35,28,2
33,34,30,2
33,34,28,2
33,33,30,2
33,33,28,2
33,32,30,2
33,32,28,2
32,35,30,2
32,35,28,2
32,34,30,2
32,34,28,2
32,33,30,2
32,33,28,2
32,32,30,2
32,32,28,2
31,35,30,2
31,35,28,2
31,34,30,2
31,34,28,2
31,33,30,2
31,33,28,2
31,32,30,2
31,32,28,2
30,35,30,2
30,35,28,2
30,34,30,2
30,34,28,2
30,33,30,2
30,33,28,2
30,32,30,2
30,32,28,2
35,36,30,2
35,37,30,2
32,37,34,2
20,23,22,1
20,22,22,1
27,32,30,1
27,32,30,1
27,31,30,1
27,31,31,1
28,32,30,1
28,32,30,1
28,31,30,1
28,31,31,1
28,30,26,1
28,30,27,1
28,31,26,1
28,31,27,1
29,30,26,1
29,30,27,1
29,31,26,1
29,31,27,1
26,30,29,1
27,30,29,1
31,36,34,1
31,36,33,1
31,35,34,1
31,35,33,1
32,36,34,1
32,36,33,1
32,35,34,1
32,35,33,1
32,37,35,1
33,35,27,1
33,35,28,1
33,34,27,1
33,34,28,1
21,22,18,1
27,29,23,1
28,29,23,1
27,28,22,1
22,23,19,1
27,29,23,1
27,29,22,1
28,29,23,1
28,29,22,1
18,22,19,5
17,22,19,5
30,38,37,5
30,37,37,5
30,37,36,5
29,37,36,5
20,27,23,5
21,26,23,5
20,26,24,5
20,26,23,5
21,27,23,5
70,86,84,5
87,90,73,1
93,104,104,1
92,103,103,1
93,104,101,1
93,104,102,1
78,99,84,5
82,84,68,1
81,84,67,1
86,90,76,2
87,90,76,2
85,90,76,2
86,91,76,2
87,91,76,2
85,91,76,2
86,89,76,2
87,89,76,2
85,89,78,2
86,90,78,2
87,90,77,2
85,90,77,2
85,92,82,2
83,92,82,2
97,107,97,2
97,107,96,2
83,86,71,2
84,86,71,2
85,86,71,2
89,99,91,2
88,91,77,2
88,91,77,2
103,119,79,10
103,118,79,10
93,100,67,10
95,104,70,10
95,104,69,10
109,126,82,10
109,126,81,10
103,122,92,10
122,153,113,10
121,153,113,10
108,126,81,10
95,103,69,10
112,136,96,10
89,112,85,10
89,111,85,10
104,122,86,10
106,122,86,10
107,122,87,10
107,123,87,10
115,134,92,10
110,98,72,50
146,124,87,50
145,124,87,50
153,130,90,50
106,100,75,50
117,98,72,50
117,98,71,50
94,86,68,50
117,99,72,50
115,92,65,50
85,78,63,50
117,93,64,50
116,92,64,50
92,78,58,50
92,77,58,50
122,104,79,50
122,105,79,50
96,90,74,50
97,90,74,50
96,90,73,50
89,98,95,1
108,117,108,1
108,118,108,1
108,118,107,1
89,91,73,1
86,89,71,1
86,89,70,1
98,100,86,2
98,99,85,2
98,99,86,2
69,82,76,5
69,79,75,5
108,111,99,2
88,117,98,5
80,102,86,5
70,82,76,5
79,102,96,5
74,92,89,5
120,125,109,2
118,123,107,2
89,92,76,2
